Unnamed: 0,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Average Hookload kkgf,Hole Depth (TVD) m,Bit Drill Time h,Mud Density Out g/cm3
31,501.701,2.694338678,10106.67998,3.281079435,43.23588,126,2961.100683,1.210000038,97.74008389,501.2932824,24.81,1.210000038
32,501.853,2.798664923,9978.78223,3.253963076,49.228248,126,2961.100683,1.210000038,97.26834782,501.4435488,24.81,1.210000038
33,502.006,2.753305686,10044.14453,3.430219409,52.129944,126,2961.100683,1.210000038,97.11412642,501.5938152,24.81,1.210000038
34,502.042,2.753305686,10044.14453,3.430219409,52.129944,126,2961.100683,1.210000038,97.11412642,501.5938152,24.81,1.210000038
35,502.158,2.726090144,10169.00858,3.552243025,52.24272,126.38,2961.100683,1.210000038,97.10959049,501.7437768,24.82,1.210000038
36,502.259,2.726090144,10169.00858,3.552243025,52.24272,126.38,2961.100683,1.210000038,97.10959049,501.7437768,24.82,1.210000038
37,502.402,2.803200847,10166.04384,3.484452127,52.24272,126.43,2961.100683,1.210000038,97.14587788,501.8940432,24.82,1.210000038
38,502.463,2.630835746,10093.3731,3.904755691,52.187856,126.05,2961.100683,1.210000038,97.20484489,502.0443096,24.82,1.210000038
39,502.475,2.630835746,10093.3731,3.904755691,52.187856,126.05,2961.100683,1.210000038,97.20484489,502.0443096,24.82,1.210000038
40,502.548,2.630835746,10093.3731,3.904755691,52.187856,126.05,2961.100683,1.210000038,97.20484489,502.0443096,24.82,1.210000038
41,502.621,2.780521228,10112.60947,3.714941178,52.193952,126.81,2961.100683,1.210000038,97.34545853,502.194576,24.83,1.210000038
42,502.838,2.753305686,10055.03825,3.836964794,52.245768,126,2961.100683,1.210000038,97.29102744,502.3445376,24.83,1.210000038
43,502.92,3.070820345,10133.0869,3.701382999,51.806856,126.43,2961.100683,1.210000038,97.0733031,502.494804,24.83,1.210000038
44,503.048,3.070820345,10133.0869,3.701382999,51.806856,126.43,2961.100683,1.210000038,97.0733031,502.494804,24.83,1.210000038
45,503.072,2.803200847,10186.31442,3.999662948,50.77968,126.86,2961.100683,1.210000038,97.08237495,502.6447656,24.83,1.210000038
46,503.124,2.803200847,10186.31442,3.999662948,50.77968,126.86,2961.100683,1.210000038,97.08237495,502.6447656,24.83,1.210000038
47,503.225,2.75784161,10143.01535,3.904755691,50.127408,126.77,2961.100683,1.210000038,97.27741967,502.795032,24.84,1.210000038
48,503.258,2.75784161,10143.01535,3.904755691,50.127408,126.77,2961.100683,1.210000038,97.27741967,502.795032,24.84,1.210000038
49,503.328,2.75784161,10143.01535,3.904755691,50.127408,126.77,2961.100683,1.210000038,97.27741967,502.795032,24.84,1.210000038
50,503.395,2.902991168,10075.30883,3.755615717,50.087784,127,2961.100683,1.210000038,97.15948565,502.9449936,24.84,1.210000038
51,503.53,2.748769762,10165.35436,3.470893948,50.084736,126.27,2961.100683,1.210000038,97.15948565,503.09526,24.84,1.210000038
52,503.536,2.748769762,10165.35436,3.470893948,50.084736,126.27,2961.100683,1.210000038,97.15948565,503.09526,24.84,1.210000038
53,503.682,2.943814481,10032.2166,3.904755691,50.087784,126.45,2961.100683,1.210000038,97.03701571,503.2452216,24.85,1.210000038
54,503.834,2.848560084,10038.90451,4.18947746,50.066448,126.55,2961.100683,1.210000038,97.00072832,503.395488,24.85,1.210000038
55,503.883,2.848560084,10038.90451,4.18947746,50.066448,126.55,2961.100683,1.210000038,97.00072832,503.395488,24.85,1.210000038
56,503.987,2.590012433,10052.69403,4.609781024,50.035968,126.33,2961.100683,1.210000038,97.54050324,503.5454496,24.85,1.210000038
57,504.023,2.590012433,10052.69403,4.609781024,50.035968,126.33,2961.100683,1.210000038,97.54050324,503.5454496,24.85,1.210000038
58,504.09,2.590012433,10052.69403,4.609781024,50.035968,126.33,2961.100683,1.210000038,97.54050324,503.5454496,24.85,1.210000038
59,504.139,2.703410525,9997.880708,4.148802922,50.090832,126.41,2961.100683,1.210000038,97.40442553,503.695716,24.86,1.210000038
60,504.161,2.703410525,9997.880708,4.148802922,50.090832,126.41,2961.100683,1.210000038,97.40442553,503.695716,24.86,1.210000038
61,504.292,2.608156128,9971.818526,3.93187205,50.115216,126.45,2961.100683,1.210000038,97.6085421,503.8456776,24.86,1.210000038
62,504.441,2.608156128,9971.818526,3.93187205,50.115216,126.45,2961.100683,1.210000038,97.6085421,503.8456776,24.86,1.210000038
63,504.444,2.676194983,10014.22128,3.877639332,50.075592,126.36,2961.100683,1.210000038,97.40442553,503.9956392,24.86,1.210000038
64,504.508,2.676194983,10014.22128,3.877639332,50.075592,126.36,2961.100683,1.210000038,97.40442553,503.9956392,24.86,1.210000038
65,504.578,2.676194983,10014.22128,3.877639332,50.075592,126.36,2961.100683,1.210000038,97.40442553,503.9956392,24.86,1.210000038
66,504.648,2.671659059,10110.47209,4.067453845,50.03292,126.27,2961.100683,1.210000038,97.48153624,504.1459056,24.86,1.210000038
67,504.718,2.671659059,10110.47209,4.067453845,50.03292,126.27,2961.100683,1.210000038,97.48153624,504.1459056,24.86,1.210000038
68,504.901,2.748769762,9967.819566,4.555548306,50.127408,126.36,2961.100683,1.210000038,97.45885662,504.4458288,24.87,1.210000038
69,504.926,2.748769762,9967.819566,4.555548306,50.127408,126.36,2961.100683,1.210000038,97.45885662,504.4458288,24.87,1.210000038
70,504.996,2.748769762,9967.819566,4.555548306,50.127408,126.36,2961.100683,1.210000038,97.45885662,504.4458288,24.87,1.210000038
71,505.054,2.839488236,9996.915442,4.338617435,50.084736,126.45,2961.100683,1.210000038,97.15041381,504.5960952,24.87,1.210000038
72,505.066,2.839488236,9996.915442,4.338617435,50.084736,126.45,2961.100683,1.210000038,97.15041381,504.5960952,24.87,1.210000038
73,505.136,2.839488236,9996.915442,4.338617435,50.084736,126.45,2961.100683,1.210000038,97.15041381,504.5960952,24.87,1.210000038
74,505.358,2.422183256,10033.73345,4.325059255,50.115216,126.14,2961.100683,1.210000038,97.62214987,504.8960184,24.88,1.210000038
75,505.413,2.422183256,10033.73345,4.325059255,50.115216,126.14,2961.100683,1.210000038,97.62214987,504.8960184,24.88,1.210000038
76,505.483,2.422183256,10033.73345,4.325059255,50.115216,126.14,2961.100683,1.210000038,97.62214987,504.8960184,24.88,1.210000038
77,505.511,2.494758035,9866.259791,4.257268358,50.081688,126.14,2961.100683,1.210000038,97.43164108,505.04598,24.88,1.210000038
78,505.553,2.494758035,9866.259791,4.257268358,50.081688,126.14,2961.100683,1.210000038,97.43164108,505.04598,24.88,1.210000038
79,505.624,2.494758035,9866.259791,4.257268358,50.081688,126.14,2961.100683,1.210000038,97.43164108,505.04598,24.88,1.210000038
80,505.691,2.689802754,9894.252506,3.823406614,50.04816,126.32,2961.100683,1.210000038,97.41349738,505.1959416,24.89,1.210000038
81,505.761,2.689802754,9894.252506,3.823406614,50.04816,126.32,2961.100683,1.210000038,97.41349738,505.1959416,24.89,1.210000038
82,505.968,2.626299822,10208.37765,4.447082871,50.12436,126.45,2961.100683,1.210000038,97.3590663,505.4961696,24.89,1.210000038
83,505.971,2.626299822,10208.37765,4.447082871,50.12436,126.45,2961.100683,1.210000038,97.3590663,505.4961696,24.89,1.210000038
84,506.047,2.626299822,10208.37765,4.447082871,50.12436,126.45,2961.100683,1.210000038,97.3590663,505.4961696,24.89,1.210000038
85,506.108,2.626299822,10208.37765,4.447082871,50.12436,126.45,2961.100683,1.210000038,97.3590663,505.4961696,24.89,1.210000038
86,506.12,2.508365806,10153.28854,4.094570204,50.145696,126.91,2961.100683,1.210000038,97.55411102,505.6461312,24.9,1.210000038
87,506.178,2.508365806,10153.28854,4.094570204,50.145696,126.91,2961.100683,1.210000038,97.55411102,505.6461312,24.9,1.210000038
88,506.248,2.508365806,10153.28854,4.094570204,50.145696,126.91,2961.100683,1.210000038,97.55411102,505.6461312,24.9,1.210000038
89,506.459,2.295177392,10009.18811,4.419966512,50.075592,126.18,2961.100683,1.210000038,97.50421586,505.9460544,24.9,1.210000038
90,506.526,2.295177392,10009.18811,4.419966512,50.075592,126.18,2961.100683,1.210000038,97.50421586,505.9460544,24.9,1.210000038
91,506.578,2.658051288,9999.052817,4.650455563,50.099976,126.64,2961.100683,1.210000038,97.5132877,506.096016,24.9,1.210000038
92,506.666,2.658051288,9999.052817,4.650455563,50.099976,126.64,2961.100683,1.210000038,97.5132877,506.096016,24.9,1.210000038
93,506.73,2.521973577,10016.97919,4.691130101,50.023776,126.68,2961.100683,1.210000038,97.50875178,506.2459776,24.91,1.210000038
94,506.882,2.798664923,9906.663069,4.230151999,50.023776,126.64,2961.100683,1.210000038,97.44071292,506.3956344,24.91,1.210000038
95,506.895,2.798664923,9906.663069,4.230151999,50.023776,126.64,2961.100683,1.210000038,97.44071292,506.3956344,24.91,1.210000038
96,506.986,2.798664923,9906.663069,4.230151999,50.023776,126.64,2961.100683,1.210000038,97.44071292,506.3956344,24.91,1.210000038
97,507.492,2.51290173,9915.764149,4.352175614,50.133504,127,2961.100683,1.210000038,97.45432069,506.9954808,24.92,1.210000038
98,507.522,2.51290173,9915.764149,4.352175614,50.133504,127,2961.100683,1.210000038,97.45432069,506.9954808,24.92,1.210000038
99,507.59,2.51290173,9915.764149,4.352175614,50.133504,127,2961.100683,1.210000038,97.45432069,506.9954808,24.92,1.210000038
100,507.66,2.567332814,9999.949135,3.972546589,50.090832,126.36,2961.100683,1.210000038,97.50421586,507.1454424,24.93,1.210000038
101,507.8,2.3541444,9994.98491,4.094570204,50.066448,126,2961.100683,1.210000038,97.6266858,507.2950992,24.93,1.210000038
102,507.949,2.435791027,10208.86028,3.864081153,50.096928,126.41,2961.100683,1.210000038,97.54503917,507.4450608,24.93,1.210000038
103,508.007,2.435791027,10208.86028,3.864081153,50.096928,126.41,2961.100683,1.210000038,97.54503917,507.4450608,24.93,1.210000038
104,508.254,2.463006569,10070.68935,3.498010307,50.075592,126.45,2961.100683,1.210000038,97.6085421,507.744984,24.94,1.210000038
105,508.288,2.463006569,10070.68935,3.498010307,50.075592,126.45,2961.100683,1.210000038,97.6085421,507.744984,24.94,1.210000038
106,508.495,2.47661434,10116.1258,3.864081153,50.10912,126.64,2961.100683,1.210000038,97.55864694,507.8946408,24.94,1.210000038
107,508.705,2.939278558,10056.83088,3.443777589,50.121312,126.23,2961.100683,1.210000038,97.32277891,508.0446024,24.94,1.210000038
108,508.711,2.667123136,9925.278914,2.711635897,50.04816,127,2961.100683,1.210000038,97.46792847,508.1942592,24.95,1.210000038
109,508.842,2.667123136,9925.278914,2.711635897,50.04816,127,2961.100683,1.210000038,97.46792847,508.1942592,24.95,1.210000038
110,508.864,2.735161991,9905.766751,3.606475743,50.118264,126.52,2961.100683,1.210000038,97.31824298,508.3442208,24.95,1.210000038
111,509.001,2.735161991,9905.766751,3.606475743,50.118264,126.52,2961.100683,1.210000038,97.31824298,508.3442208,24.95,1.210000038
112,509.016,2.676194983,10007.87811,3.769173896,50.136552,126.18,2961.100683,1.210000038,97.36360222,508.4938776,24.95,1.210000038
113,509.053,2.676194983,10007.87811,3.769173896,50.136552,126.18,2961.100683,1.210000038,97.36360222,508.4938776,24.95,1.210000038
114,509.123,2.676194983,10007.87811,3.769173896,50.136552,126.18,2961.100683,1.210000038,97.36360222,508.4938776,24.95,1.210000038
115,509.168,2.816808618,10121.22792,3.457335768,50.042064,126.27,2961.100683,1.210000038,97.15041381,508.6438392,24.96,1.210000038
116,509.26,2.816808618,10121.22792,3.457335768,50.042064,126.27,2961.100683,1.210000038,97.15041381,508.6438392,24.96,1.210000038
117,509.321,2.653515365,10139.01639,3.94543023,50.04816,126.86,2961.100683,1.210000038,97.13227011,508.793496,24.96,1.210000038
118,509.33,2.653515365,10139.01639,3.94543023,50.04816,126.86,2961.100683,1.210000038,97.13227011,508.793496,24.96,1.210000038
119,509.4,2.653515365,10139.01639,3.94543023,50.04816,126.86,2961.100683,1.210000038,97.13227011,508.793496,24.96,1.210000038
120,509.473,2.726090144,10211.68713,3.633592102,50.09388,126.32,2961.100683,1.210000038,97.15948565,508.9434576,24.96,1.210000038
121,509.54,2.726090144,10211.68713,3.633592102,50.09388,126.32,2961.100683,1.210000038,97.15948565,508.9434576,24.96,1.210000038
122,509.607,2.726090144,10211.68713,3.633592102,50.09388,126.32,2961.100683,1.210000038,97.15948565,508.9434576,24.96,1.210000038
123,509.677,2.771449381,10105.23208,3.470893948,50.10912,126,2961.100683,1.210000038,97.09598272,509.0931144,24.97,1.210000038
124,509.748,2.771449381,10105.23208,3.470893948,50.10912,126,2961.100683,1.210000038,97.09598272,509.0931144,24.97,1.210000038
125,509.778,2.816808618,10192.45076,4.013221127,50.115216,126,2961.100683,1.210000038,97.20938081,509.243076,24.97,1.210000038
126,509.818,2.816808618,10192.45076,4.013221127,50.115216,126,2961.100683,1.210000038,97.20938081,509.243076,24.97,1.210000038
127,509.93,2.848560084,10312.97112,4.257268358,50.12436,126.45,2961.100683,1.210000038,97.20484489,509.3927328,24.97,1.210000038
128,510.095,2.898455244,10235.12931,4.053895666,50.084736,126.45,2961.100683,1.210000038,97.11866234,509.5423896,24.97,1.210000038
129,510.165,2.898455244,10235.12931,4.053895666,50.084736,126.45,2961.100683,1.210000038,97.11866234,509.5423896,24.97,1.210000038
130,510.305,2.626299822,10325.93326,4.352175614,50.035968,126.77,2961.100683,1.210000038,97.25020413,509.6923512,24.98,1.210000038
131,510.372,2.626299822,10325.93326,4.352175614,50.035968,126.77,2961.100683,1.210000038,97.25020413,509.6923512,24.98,1.210000038
132,510.388,2.789593076,9943.412125,3.687824819,50.060352,126.5,2961.100683,1.210000038,97.25020413,509.842008,24.98,1.210000038
133,510.583,2.780521228,10151.15116,3.796290255,50.133504,127,2961.100683,1.210000038,97.39535369,509.9916648,24.98,1.210000038
134,510.653,2.780521228,10151.15116,3.796290255,50.133504,127,2961.100683,1.210000038,97.39535369,509.9916648,24.98,1.210000038
135,510.692,2.508365806,10068.06934,3.484452127,50.096928,126.18,2961.100683,1.210000038,97.30917114,510.1413216,24.99,1.210000038
136,510.845,2.349608477,10077.65305,3.972546589,50.051208,126,2961.100683,1.210000038,97.45432069,510.2912832,24.99,1.210000038
137,511.15,2.989173718,10052.28034,4.040337486,50.103024,126.23,2961.100683,1.210000038,97.15041381,510.5905968,25,1.210000038
138,511.302,2.875775626,10097.64785,3.579359384,50.075592,126.59,2961.100683,1.210000038,97.08691087,510.7402536,25,1.210000038
139,511.454,2.680730907,10307.59321,3.687824819,50.051208,126.59,2961.100683,1.210000038,97.32731483,510.8899104,25,1.210000038
140,511.607,2.884847473,10319.24535,3.41666123,50.072544,126.55,2961.100683,1.210000038,97.24113228,511.0395672,25,1.210000038
141,511.759,3.039068879,10082.34148,3.40310305,50.060352,126.09,2961.100683,1.210000038,97.10959049,511.189224,25.01,1.210000038
142,511.912,2.912063015,10111.36841,3.470893948,50.130456,126,2961.100683,1.210000038,97.04608756,511.3388808,25.01,1.210000038
143,511.994,2.912063015,10111.36841,3.470893948,50.130456,126,2961.100683,1.210000038,97.04608756,511.3388808,25.01,1.210000038
144,512,2.912063015,10111.36841,3.470893948,50.130456,126,2961.100683,1.210000038,97.04608756,511.3388808,25.01,1.149999976
145,512.064,3.111643658,10159.56277,3.647150281,50.12436,126,2961.100683,1.210000038,96.98712055,511.4885376,25.01,1.149999976
146,512.125,3.111643658,10159.56277,3.647150281,50.12436,126,2961.100683,1.210000038,96.98712055,511.4885376,25.01,1.149999976
147,512.195,3.111643658,10159.56277,3.647150281,50.12436,126,2961.100683,1.210000038,96.98712055,511.4885376,25.01,1.149999976
148,512.216,2.907527092,10169.42227,4.175919281,49.990248,126,2961.100683,1.210000038,97.07783903,511.6381944,25.02,1.149999976
149,512.265,2.907527092,10169.42227,4.175919281,49.990248,126,2961.100683,1.210000038,97.07783903,511.6381944,25.02,1.149999976
150,512.335,2.907527092,10169.42227,4.175919281,49.990248,126,2961.100683,1.210000038,97.07783903,511.6381944,25.02,1.149999976
151,512.521,1.950447191,9981.678028,2.318448692,10.457688,118.4,2966.854509,1.210000038,98.71077156,511.937508,25.05,1.149999976
152,512.558,1.950447191,9981.678028,2.318448692,10.457688,118.4,2966.854509,1.210000038,98.71077156,511.937508,25.05,1.149999976
153,512.674,2.42671918,9870.327698,0.013558179,15.753588,89,2961.100683,1.210000038,98.78334634,512.0871648,25.05,1.149999976
154,512.695,2.42671918,9870.327698,0.013558179,18.401538,89,2961.100683,1.210000038,98.78334634,512.0871648,25.05,1.149999976
155,512.732,2.42671918,9870.327698,0.013558179,19.725513,89,2961.100683,1.210000038,98.78334634,512.0871648,25.05,1.149999976
156,512.796,2.42671918,9870.327698,0.013558179,20.3875005,89,2961.100683,1.210000038,98.78334634,512.0871648,25.05,1.149999976
157,512.93,2.698874602,9923.555224,0.013558179,21.049488,89,2961.100683,1.210000038,98.23903549,512.2368216,25.06,1.149999976
158,512.978,2.603620204,9979.402759,0.013558179,23.838408,89,2961.100683,1.210000038,98.13017333,512.3861736,25.07,1.149999976
159,512.994,2.603620204,9979.402759,0.013558179,23.838408,89,2961.100683,1.210000038,98.13017333,512.3861736,25.07,1.149999976
160,513,2.603620204,9979.402759,0.013558179,23.838408,89,2961.100683,1.210000038,98.13017333,512.3861736,25.07,1.159999967
161,513.027,2.603620204,9979.402759,0.013558179,23.838408,89,2961.100683,1.210000038,98.13017333,512.3861736,25.07,1.159999967
162,513.061,2.603620204,9979.402759,0.013558179,23.838408,89,2961.100683,1.210000038,98.13017333,512.3861736,25.07,1.159999967
163,513.094,2.603620204,9979.402759,0.013558179,23.838408,89,2961.100683,1.210000038,98.13017333,512.3861736,25.07,1.159999967
164,513.125,2.603620204,9979.402759,0.013558179,23.838408,89,2961.100683,1.210000038,98.13017333,512.3861736,25.07,1.159999967
165,513.131,3.252257293,10035.80187,0.013558179,23.734776,89,2961.100683,1.210000038,97.92605676,512.5358304,25.07,1.159999967
166,513.158,3.252257293,10035.80187,0.013558179,23.734776,89,2961.100683,1.210000038,97.92605676,512.5358304,25.07,1.159999967
167,513.228,3.252257293,10035.80187,0.013558179,23.734776,89,2961.100683,1.210000038,97.92605676,512.5358304,25.07,1.159999967
168,513.283,2.93020671,10058.20983,0.013558179,24.29256,89,2961.100683,1.210000038,97.90791306,512.6854872,25.08,1.159999967
169,513.329,2.93020671,10058.20983,0.013558179,24.29256,89,2961.100683,1.210000038,97.90791306,512.6854872,25.08,1.159999967
170,513.362,2.93020671,10058.20983,0.013558179,24.29256,89,2961.100683,1.210000038,97.90791306,512.6854872,25.08,1.159999967
171,513.399,2.93020671,10058.20983,0.013558179,24.29256,89,2961.100683,1.210000038,97.90791306,512.6854872,25.08,1.159999967
172,513.43,2.93020671,10058.20983,0.013558179,24.29256,89,2961.100683,1.210000038,97.90791306,512.6854872,25.08,1.159999967
173,513.436,3.293080606,10031.38923,0.013558179,24.161496,89,2961.100683,1.210000038,97.70833242,512.835144,25.09,1.159999967
174,513.487,3.293080606,10031.38923,0.013558179,24.161496,89,2961.100683,1.210000038,97.70833242,512.835144,25.09,1.159999967
175,513.588,3.356583538,10083.2378,0.352512667,22.561296,89,2961.100683,1.210000038,97.61761395,512.984496,25.09,1.159999967
176,513.634,3.356583538,10083.2378,0.352512667,22.561296,89,2961.100683,1.210000038,97.61761395,512.984496,25.09,1.159999967
177,513.689,3.356583538,10083.2378,0.352512667,22.561296,89,2961.100683,1.210000038,97.61761395,512.984496,25.09,1.159999967
178,513.743,3.016389261,10015.04865,1.274468871,20.509992,89,2961.100683,1.210000038,97.71740427,513.1341528,25.1,1.159999967
179,513.826,3.016389261,10015.04865,1.274468871,20.509992,89,2961.100683,1.210000038,97.71740427,513.1341528,25.1,1.159999967
180,513.856,3.016389261,10015.04865,1.274468871,20.509992,89,2961.100683,1.210000038,97.71740427,513.1341528,25.1,1.159999967
181,513.884,3.016389261,10015.04865,1.274468871,20.509992,89,2961.100683,1.210000038,97.71740427,513.1341528,25.1,1.159999967
182,513.893,3.075356269,10046.2819,1.274468871,20.089368,89,2961.100683,1.210000038,97.90791306,513.2835048,25.11,1.159999967
183,513.999,3.075356269,10046.2819,1.274468871,20.089368,89,2961.100683,1.210000038,97.90791306,513.2835048,25.11,1.070000052
184,514.003,3.075356269,10046.2819,1.274468871,20.089368,89,2961.100683,1.210000038,97.90791306,513.2835048,25.11,1.070000052
185,514.03,3.075356269,10046.2819,1.274468871,20.089368,89,2961.100683,1.210000038,97.90791306,513.2835048,25.11,1.070000052
186,514.045,3.057212574,10043.31716,1.260910692,20.936712,89,2961.100683,1.210000038,97.89884122,513.4331616,25.12,1.070000052
187,514.222,2.998245566,9992.502797,1.274468871,21.979128,89,2961.100683,1.210000038,97.81719459,513.5828184,25.12,1.070000052
188,514.259,2.998245566,9992.502797,1.274468871,21.979128,89,2961.100683,1.210000038,97.81719459,513.5828184,25.12,1.070000052
189,514.35,3.007317413,9989.744894,1.30158523,23.594568,89,2961.100683,1.210000038,98.05759855,513.7321704,25.13,1.070000052
190,514.359,3.007317413,9989.744894,1.30158523,23.594568,89,2961.100683,1.210000038,98.05759855,513.7321704,25.13,1.070000052
191,514.49,3.007317413,9989.744894,1.30158523,23.594568,89,2961.100683,1.210000038,98.05759855,513.7321704,25.13,1.070000052
192,514.502,3.102571811,9968.715885,1.288027051,24.085296,89,2961.100683,1.210000038,97.7990509,513.8818272,25.13,1.070000052
193,514.524,3.102571811,9968.715885,1.288027051,24.085296,89,2961.100683,1.210000038,97.7990509,513.8818272,25.13,1.070000052
194,514.591,3.102571811,9968.715885,1.288027051,24.085296,89,2961.100683,1.210000038,97.7990509,513.8818272,25.13,1.070000052
195,514.621,3.102571811,9968.715885,1.288027051,24.085296,89,2961.100683,1.210000038,97.7990509,513.8818272,25.13,1.070000052
196,514.652,3.102571811,9968.715885,1.288027051,24.085296,89,2961.100683,1.210000038,97.7990509,513.8818272,25.13,1.070000052
197,514.655,3.020925184,10060.55405,1.260910692,23.5458,89,2961.100683,1.210000038,97.76729943,514.0311792,25.14,1.070000052
198,514.789,3.020925184,10060.55405,1.260910692,23.5458,89,2961.100683,1.210000038,97.76729943,514.0311792,25.14,1.070000052
199,514.807,3.796568137,10088.75361,1.247352512,24.103584,89,2961.100683,1.210000038,97.47700031,514.1805312,25.15,1.070000052
200,514.825,3.796568137,10088.75361,1.247352512,24.103584,89,2961.100683,1.210000038,97.47700031,514.1805312,25.15,1.070000052
201,514.862,3.796568137,10088.75361,1.247352512,24.103584,89,2961.100683,1.210000038,97.47700031,514.1805312,25.15,1.070000052
202,514.899,3.796568137,10088.75361,1.247352512,24.103584,89,2961.100683,1.210000038,97.47700031,514.1805312,25.15,1.070000052
203,514.935,3.796568137,10088.75361,1.247352512,24.103584,89,2961.100683,1.210000038,97.47700031,514.1805312,25.15,1.070000052
204,514.999,3.742137053,10047.38507,1.30158523,25.402032,89,2961.100683,1.210000038,97.11866234,514.330188,25.15,1.200000048
205,515.005,3.742137053,10047.38507,1.30158523,25.402032,89,2961.100683,1.210000038,97.11866234,514.330188,25.15,1.200000048
206,515.078,3.742137053,10047.38507,1.30158523,25.402032,89,2961.100683,1.210000038,97.11866234,514.330188,25.15,1.200000048
207,515.152,3.556164181,10071.44777,1.288027051,25.917144,89,2961.100683,1.210000038,97.14587788,514.47954,25.16,1.200000048
